BV号,标题,UP主,分区,播放量,弹幕数,收藏,硬币,分享,点赞,发布时间,简介,AV号
BV1ZhwAeKE4t,暴论崩铁3.0：记忆体成精三月七？数据世界翁法罗斯！,果蝇轰,手机游戏 (172),1003476,8795,13176,27468,1736,99855,2025-01-18 18:20:44,黑天鹅，你别跑，我要给你bangbang两拳,113848828823636
BV1bM5yzdEjs,都在对标原神，为什么友商不敢去碰瓷崩铁？,原神同人菌,手机游戏 (172),1001508,5312,8393,487,572,79991,2025-04-21 17:40:07,,114375264310819
BV1cZw9eDEDj,翁法罗斯的怪物太多啦！快请黄泉姐姐帮帮！,瓶装白矮心,同人·手书 (47),990534,163,8161,2269,750,84415,2025-02-17 15:58:55,黄泉笑传之吃吃Bean,114018161270317
BV1GJwVesEEm,大黑塔这些小彩蛋太好玩了,我是阿歆,手机游戏 (172),986076,151,7424,252,386,107868,2025-01-16 20:51:20,-,113838091406553
BV1c6wuesELe,给迷迷加上配音，演都不带演？,ForGetBe,手机游戏 (172),979349,6509,6714,825,3618,44860,2025-01-16 09:00:00,能不对迷迷犯错的都是神人,113834048098720
BV1rcP2eYE6o,《车玻璃广告？》,小旭搞笑,GMV (121),975434,55,3339,81,298,37459,2025-02-05 21:38:38,感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连，感谢大家的一键三连。,113951538943878
BV1kvwne4E6L,翁法罗斯开拓现状,苦力怕到此一游,同人·手书 (47),957439,691,7785,2239,1742,86192,2025-01-17 17:00:00,-,113841648180610
BV1uqAWe2E73,星铁角色为什么卖完卡就扔，主角为什么注定成为摄像头。,老鬼z9,手机游戏 (172),948665,4505,11979,9442,4628,31269,2025-02-20 19:26:05,过于难绷,114035928340170
BV1iZF5e8EyP,星穹铁道春晚【小品合集】,暴走丷艾,手机游戏 (172),948561,3036,27673,22190,10685,93963,2025-01-30 19:47:30,看春晚不如看星铁春晚,113917112094253
BV1A9fGYaEtP,博弈？ 博个屁！ 看丹恒戏耍整个翁法罗斯！翁法罗斯3.0主线高能逐帧解读系列！,凤梨不会飞,手机游戏 (172),937441,3091,17264,12382,5314,53183,2025-01-23 18:20:49,翁法罗斯3.0主线高能逐帧解读系列第二期！,113877148829117
BV1NQ67YYExp,我已经不敢想明年4.0的主题曲会找谁来了...,欢愉令使阿穹,手机游戏 (172),926315,1757,26395,1327,8225,147947,2024-12-31 12:00:00,,113745430843951
BV12r6fYnEMK,丸辣！一年份的轻松阳光！崩铁翁法罗斯演都不演了！,果蝇轰,手机游戏 (172),921034,6745,12511,30632,1615,83596,2025-01-01 23:11:32,翁法罗斯，我太爱你了。,113753718784497
BV1QMAoeyE8H,超乎想象！谁言巡猎无大C？飞霄仅2金0t750w天谴之矛！,盼能常驻足,手机游戏 (172),920396,3090,9411,11008,13196,71414,2025-02-21 18:30:00,"流程思路：@-小月下-  @盼能常驻足  
协助优化：@与澄闪佳偶天成  
接力凹分：@盼能常驻足  @-小月下-  
最终攻克：@盼能常驻足  
账号提供：@十七栀_  
感谢@小猛的河马先生  参与配音剪辑。
感谢@且不慌  制作的精美封面。
最后感谢大家的陪伴。
关注天策官号@天策星研会  谢谢喵！

主要凹点
1面，飞q触发貊追的鸟附加伤害要k头，迷迷触发的1/3追击不打在小天谴，弹射削韧不击破小天谴。2面，飞q貊追能收掉p1，不减员。
这就是星铁最高的山吗！即使是面对如此逆风的环境，依旧再次拿下2金0t。实话说，飞霄从up到现在，没有一期是给了天气抬的，就连顺环境都没多少，更别说专属怪了。但是，依旧能取得如此优秀的成绩，应该足以证明飞霄的实力了。",114041011832156
BV1pD6BY9E8P,《当你听了28遍何者后身体发生的变化》,企鹅带带北极熊,手机游戏 (172),918070,7597,17264,25796,1467,105992,2025-01-02 16:47:05,真的不关注一下北极熊吗 T T,113757879533925
