BV号,标题,UP主,分区,播放量,弹幕数,收藏,硬币,分享,点赞,发布时间,简介,AV号
BV1d1LizHE9e,《崩坏：星穹铁道》二周年动画短片：「我独自救世」,夙曈,GMV (121),677579,2934,33875,28795,5030,89665,2025-04-26 10:00:00,"*本视频内容仅为二创，请以官方后续主线剧情为准~
BGM：ReawakeR-TV动画《我独自升级 第二季》片头曲
---------------
三月初就准备要在周年庆搞个大的！去年咱做了我独自升级第一季的OP，那么今年理所当然就是第二季啦！
又是做了一个多月（中间没忍住先把ED给做了）面前的电脑和自身的大脑都受到了相当程度的挑↓战↑
这次尝试了一些复杂的运镜和动作，即使有原OP作为参考也不可能做到百分百还原（那个经费爆炸的打戏谁能仿得来啊啊啊），所以打戏部分做了简化改动，同时也符合崩铁角色的技能设定，但依旧K动作K得发昏，这对于第一次K打戏的萌新来说还是太艰辛了（悲）仿什么不好仿这个！！有种玩艾斯爱慕的快感
还试着后期加了点特效，由于本人不会画画所以基本是用AE一帧帧抠出来的，这部分也还不太清楚标准的软件和流程，先将就一下吧，至少最终效果差强人意（

这一年也是我独自升级了，回看去年周年庆发的动画说得上是有些粗制滥造（
虽然现在流程还是很外行，但也能自己研究做出比较有难度的作品了
每次做完这类视频自己都会看上几十遍，自己现在能做出这么帅的视频真是太好了......

还有一点咱觉得还是有必要说的，“黑厄”目前是处于玩家猜测中的角色，尽管有多种线索指向盗火行者可能就是白厄，各类的假药也不少，但毕竟官方剧情还没有明确揭露盗火行者的真面目，拒绝擅自期待擅自破防，从你我做起！（看母鸡卡看多了导致的）不过这不影响二创做帅帅的黑厄！如果以后盗火行者另有其人，那么把黑厄当作一条if线看待也未尝不可（点头)，咱们自个儿捣鼓出来的黑厄设定细品起来还是很带感啊...

最后，祝《崩坏：星穹铁道》和各位开拓者们二周年快乐！
也希望各位开拓者能喜欢这次的动画短片~
咱们5月2号晚上的崩铁演唱会见！！
---------------
策划：夙曈
动画：夙曈
渲染：夙曈
特效：夙曈
后期：夙曈

-借物表-
大部分模型：miHoYo
缇里西庇俄丝：miHoYo/烦恼死的夏洛/填字小檀桌/林槿
盗火行者：miHoYo/给你柠檬椰果养乐多你会跟我玩吗
黑厄改模：夙曈

场景：miHoYo/网络资产",114391437542898
BV17yABeME9W,6+5缇宝直接盐都不盐了,烦恼死的夏洛,手机游戏 (172),676649,316,1411,155,1881,17027,2025-02-19 12:01:19,,114028546359624
BV12NoRY7EvT,封面都是骗人的，你不准玩星穹铁道啊啊啊！！！,果蝇轰,手机游戏 (172),672480,11047,6685,16083,812,58579,2025-03-28 23:02:12,你知道的，即将要重现原画集战争的一jio,114240643990588
BV136LUz5ETL,崩铁中的概念神,提瓦特老村长,日常 (21),672081,190,5083,128,173,21485,2025-04-28 21:53:16,-,114415898728490
BV1m3w5eUEty,可看完3.0剧情我笑不出来啊！？,果蝇轰,手机游戏 (172),671863,5003,7864,11745,406,44364,2025-01-16 18:04:10,"因为流程太长了，所以这次只切了后半段。
其他分析和感想，咱们留杂谈里展开说，先发实况陪大伙开心一下！",113837453871954
BV18H5nzfENX,⚡米哈游，能不能放过我这一次😭👊🏻⚡,萌宠教主,GMV (121),667994,417,39585,10027,11888,95580,2025-04-19 10:00:00,"BGM：天真的橡皮
填词、剪辑：萌宠教主
调音：王牌p

游戏里，我只想做个阳光快乐的孩子！",114360416469114
BV15m5jzxEXh,【星穹铁道】遐蝶留给我们的花海要如何开启？全流程攻略来啦！,一号玩家李狗蛋,网络游戏 (65),665519,154,91432,9714,2025,57959,2025-04-18 18:24:24,【星穹铁道】遐蝶留给我们的花海要如何开启？全流程攻略来啦！,114358470316087
BV1xmPRePEEG,大型纪录片《黄泉诗人》,水江梓kasaki,手机游戏 (172),665270,113,860,69,575,16952,2025-02-03 17:05:25,"诗人套是真的能用的！
黄泉一命18%+诗人32%+出云12%+星期日20%+记忆主10%+自身5%(忘记说了)=97%",113939140575519
BV1B9fKYTEfC,“遐蝶”的逆天机制,无想StarRaiI,手机游戏 (172),665171,159,3579,92,581,46012,2025-04-02 17:26:46,,114267638470011
BV1ZCdPYsE2g,【星穹铁道】星铁WORLD 活动攻略/一天10级/经营小游戏/翁法罗斯/星穹铁道3.2,你的影月月,手机游戏 (172),664918,171,2986,1518,637,16112,2025-04-09 22:06:27,"1、优先完成左上角任务，帕姆和嘉宾非任务时期不要点！(特别嘉宾可以点，账账谛听尾巴之类的)
2、抽全角色&gt;抽回忆卡&gt;角色补星，优先在右上方薅好友的回忆卡
3、记得在左上角看会场BUFF，BUFF很重要！
4、角色升级会给钻石，记得把角色平均等级拉起来
5、星级高的角色赚的更多！同星级看卡片颜色！
有帮助的话还请三连支持一下！",114308373545127
BV1jiqqYeEBp,星穹铁道TGA2024参展宣传片 翁法罗斯首次亮相 新角色遐蝶出场！,游戏BBQ,手机游戏 (172),661935,463,2645,262,12881,18821,2024-12-13 11:34:24,"TGA
大家点赞收藏三连，充电1B币即可获得BBQ粉丝牌哦！",113643391818827
BV1ryPjeQEdM,翁法罗斯十二黄金裔四位未公布已揭晓,小唤鹿c,网络游戏 (65),659437,280,1511,72,573,22106,2025-02-27 00:20:32,-,114071093447231
BV1yJZHYQEw9,崩铁里最诡异的队伍！（胆小慎入）,KAFKA不卡,手机游戏 (172),655226,165,3114,644,4919,32955,2025-04-01 20:00:00,晚上刷到的人有福了.,114257840571151
BV1JGNwe3EGa,【干货】只要有一个人不知道，那这视频就有意义。,KAFKA不卡,手机游戏 (172),654976,174,891,194,177,40048,2025-02-04 12:44:33,,113943787864864
BV1BkNzeLEKL,阿格莱雅：这就是天外世界的书么？【崩坏:星穹铁道动画】,CelinePizza,手机游戏 (172),651485,190,28894,3098,898,83782,2025-02-12 13:30:00,"请多多关注，多多支持！
大家记得关注+一键三连 还有帮充电 哦~
很希望大家喜欢这个作品。

大家记得关注+一键三连 还有帮充电 哦~



新的创造哔哩哔哩 2nd 账号：﻿﻿﻿﻿﻿﻿@Celinepizza官方",113986133558748
BV1wnNHeqEUE,翁 法 罗 斯 往 事,南有风音,手机游戏 (172),649327,729,22797,9667,10926,61498,2025-02-08 11:45:00,"【本视频故事出自翁法罗斯野史，属于整活二创，与游戏官方剧情、角色人设无关（doge】
【视频涉及部分剧透，请部分观众谨慎观看！】

借物表：
模型：米哈游、神帝宇
动作：神樂坂浮沉、blackboss",113956991534363
BV1pUNoeNEAj,崩铁角色要是放在现实，个个都得塌房！,节律锥蜗牛,手机游戏 (172),648041,188,3617,75,237,38391,2025-02-10 20:04:21,-,113979473008501
BV1WLwcezESy,《崩坏:星穹铁道》顶级二创!我们用MC还原了翁法罗斯!,Apple苹果酱喔,手机游戏 (172),647580,10494,34097,66923,11275,177173,2025-01-18 14:00:00,"终于~~~~~~~~~~终于肝完了，终于可以玩崩坏星穹铁道了！！！！！！！！！！！！！！！！！！！！！
感谢崩铁给我创作体验服资格！！！！本次存档由@绿柱石Berylite  与我一同创作",113845741879580
BV1dxZPY9Ey2,不一定非要选阮梅或者罗刹！新增代币四种兑换思路,大嗨鸽鸽,手机游戏 (172),647070,679,1452,190,397,16512,2025-03-29 18:46:32,不一定非要选阮梅或者罗刹！新增代币四种兑换思路,114245307994216
BV12gdTYyEDB,woc是黄泉！！woc翁法罗斯令使搞团建！！,果蝇轰,手机游戏 (172),643692,4157,6612,2670,468,33964,2025-04-10 00:20:55,再见黄泉，无憾矣。,114308910415888
BV18iRBYNErf,最史诗的剧情，以命换命？遐蝶PV，顶级细节伏笔！,Jerryprpr,手机游戏 (172),643305,2465,25557,4429,1535,63558,2025-04-06 16:57:34,感谢开拓者关注！ 欢迎加入星铁剧情交流群：923940488,114290170336110
BV1xad6YzEUK,阿基维利不语，只是一味的选抽象,卡了麻麻,手机游戏 (172),640646,124,18510,626,1160,71229,2025-04-13 20:05:10,,114330553091115
BV1aLwFeSE1Y,米沙：断桥还能这样玩？,modry_veczer,手机游戏 (172),636032,85,1225,81,751,16515,2025-01-18 09:07:25,-,113846664563007
BV19ENCe7EB7,二键逗蝶,那啥的青年,MMD·3D (25),625897,95,20394,1482,2226,84494,2025-02-12 09:35:17,"借物表
----------------------------------
模型：流云景 / miHoYo
场景：西业解 / miHoYo
渲染预设：小二今天吃啥啊
语音：https://acgn.ttson.cn/",113988331380560
BV19MdVYgEh1,智识令使只配当看门的！原来翁法罗斯这么逆天？多方令使大混战？,你的倪端端,手机游戏 (172),624189,609,7466,149,397,51815,2025-04-10 18:45:23,智识令使只配当看门的！原来翁法罗斯这么逆天？多方令使大混战？,114313255714851
BV1Vtc3e7Exx,看懂崩铁3.0预告的已经开始包饺子了！！,企鹅带带北极熊,手机游戏 (172),623821,5103,4334,1757,484,54587,2025-01-12 17:55:55,真的不关注一下北极熊吗 T T,113814771073620
BV1VpwLecEGE,看我用匹诺康尼剑斩翁法罗斯的官,有机食品pm,手机游戏 (172),620816,115,1828,51,941,31465,2025-01-17 00:11:32,米沙时停之力果然强大,113838896711773
BV1uJokYJEcU,翁法罗斯的纷争半神vs星铁难度最高的副本，喜欢我的群体控制尾兽玉吗,乾杦先生,手机游戏 (172),618091,827,1191,117,510,14162,2025-03-24 14:10:53,-,114215880760558
BV194NmetErX,[星穹铁道]假如崩铁有出金动画——阿格莱雅,苍琳天涯,手机游戏 (172),618012,338,1922,290,208,41101,2025-02-09 13:59:29,我也希望崩铁能像隔壁一样，有个出金动画，这样更有成就感,113972393022512
BV1C5dNYPExB,彻底真相了！原来翁法罗斯才是最离谱的地方？一下登场这么多令使结果还不够…,凉小夜来了,手机游戏 (172),617629,196,2125,66,148,24059,2025-04-09 20:42:03,-,114308038000652
BV1MbfsYTEKj,大黑塔为什么没人吹了？新时代智识竟成最大冲击波，且看顶级虫皇带您深入分析！,清蒸蟹蟹Fc,手机游戏 (172),616979,783,594,78,270,10542,2025-01-25 01:49:44,理性节奏，不带讨论（,113884581073023
BV16ifaYyE9U,《翁 法 罗 斯 跑 图 开 荒 现 状》,地蛋星穹铁道,手机游戏 (172),616051,116,2067,76,985,29688,2025-01-22 18:40:49,,113871578731040
BV13u62YREBY,偶遇何者模因，拼尽全力无法战胜【菈崩铁】,宝菈卟妞BOOM,手机游戏 (172),614792,220,8923,1639,309,76215,2025-01-03 17:41:47,"画师大大@清杂吗喽  
丹恒/斯科特配音@赛可_Cykal  
三月七配音@云生s  
感谢大大们！",113763751630621
BV1Ci9AYWE53,独家解析，万敌关键细节！杀疯了，星铁3.1伏笔解析！,Jerryprpr,手机游戏 (172),612602,2084,11869,3527,1665,50676,2025-02-27 19:49:28,感谢开拓者关注！ 欢迎加入星铁剧情交流群：923940488,114075673565468
